j,fILe,survey,country,N,sTArt,eNd,ReTRo,state,DHS,Region,SubRegion
320,MV52,MV5,Maldives,20136,2009,2009,5,,MV,South and Southeast Asia,South Asia
321,MV71,MV7,Maldives,13922,2016,2017,5,,MV,South and Southeast Asia,South Asia
322,MW22,MW2,Malawi,16330,1992,1992,5,,MW,Sub-Saharan Africa,Eastern Africa
323,MW41,MW4,Malawi,40421,2000,2000,5,,MW,Sub-Saharan Africa,Eastern Africa
324,MW4E,MW4,Malawi,35883,2004,2005,5,,MW,Sub-Saharan Africa,Eastern Africa
325,MW61,MW5,Malawi,72301,2010,2010,5,,MW,Sub-Saharan Africa,Eastern Africa
326,MW7A,MW7,Malawi,68074,2015,2016,5,,MW,Sub-Saharan Africa,Eastern Africa
327,MW81,MW8,Malawi,52765,2024,2024,5,,MW,Sub-Saharan Africa,Eastern Africa
328,MX01,MX,Mexico,22676,1987,1987,5,,MX,Latin America and Caribbean,Central America
329,MZ31,MZ3,Mozambique,25752,1997,1997,5,,MZ,Sub-Saharan Africa,Eastern Africa
330,MZ41,MZ4,Mozambique,37443,2003,2004,5,,MZ,Sub-Saharan Africa,Eastern Africa
331,MZ62,MZ6,Mozambique,37984,2011,2011,5,,MZ,Sub-Saharan Africa,Eastern Africa
332,MZ81,MZ8,Mozambique,33900,2022,2023,5,,MZ,Sub-Saharan Africa,Eastern Africa
333,NC31,NC3,Nicaragua,36820,1997,1998,5,,NC,Latin America and Caribbean,Central America
334,NC41,NC4,Nicaragua,34157,2001,2001,5,,NC,Latin America and Caribbean,Central America
335,NG21,NG2,Nigeria,28123,1990,1990,5,,NG,Sub-Saharan Africa,Western Africa
336,NG4B,NG4,Nigeria,23038,2003,2003,5,,NG,Sub-Saharan Africa,Western Africa
337,NG53,NG5,Nigeria,104808,2008,2008,5,,NG,Sub-Saharan Africa,Western Africa
338,NG6A,NG6,Nigeria,119386,2013,2013,5,,NG,Sub-Saharan Africa,Western Africa
339,NG7B,NG7,Nigeria,127545,2018,2018,5,,NG,Sub-Saharan Africa,Western Africa
340,NG8B,NG8,Nigeria,104557,2023,2024,5,,NG,Sub-Saharan Africa,Western Africa
341,NI22,NI2,Niger,23841,1992,1992,5,,NI,Sub-Saharan Africa,Western Africa
342,NI31,NI3,Niger,28888,1998,1998,5,,NI,Sub-Saharan Africa,Western Africa
343,NI51,NI5,Niger,34378,2006,2006,5,,NI,Sub-Saharan Africa,Western Africa
344,NI61,NI6,Niger,44183,2012,2012,5,,NI,Sub-Saharan Africa,Western Africa
345,NM21,NM2,Namibia,13372,1992,1992,5,,NM,Sub-Saharan Africa,Southern Africa
346,NM41,NM4,Namibia,14946,2000,2000,5,,NM,Sub-Saharan Africa,Southern Africa
347,NM51,NM5,Namibia,19522,2006,2007,5,,NM,Sub-Saharan Africa,Southern Africa
348,NM61,NM6,Namibia,18090,2013,2013,5,,NM,Sub-Saharan Africa,Southern Africa
349,NP31,NP3,Nepal,29156,1952,1953,5,,NP,South and Southeast Asia,South Asia
350,NP41,NP4,Nepal,28955,2057,2058,5,,NP,South and Southeast Asia,South Asia
351,NP51,NP5,Nepal,26394,2062,2063,5,,NP,South and Southeast Asia,South Asia
352,NP61,NP6,Nepal,26615,2067,2068,5,,NP,South and Southeast Asia,South Asia
353,NP7H,NP7,Nepal,26028,2073,2073,5,,NP,South and Southeast Asia,South Asia
354,NP82,NP8,Nepal,27613,2078,2079,5,,NP,South and Southeast Asia,South Asia
355,OS01,OS,Nigeria (Ondo State),6091,1986,1987,5,,OS,Sub-Saharan Africa,Western Africa
356,PE01,PE,Peru,13291,1986,1986,5,,PE,Latin America and Caribbean,South America
357,PE21,PE2,Peru,38783,1991,1992,5,,PE,Latin America and Caribbean,South America
358,PE31,PE3,Peru,72390,1996,1996,5,,PE,Latin America and Caribbean,South America
359,PE41,PE4,Peru,65453,2000,2000,5,,PE,Latin America and Caribbean,South America
360,PE51,PE5,Peru,89220,2003,2008,5,,PE,Latin America and Caribbean,South America
361,PE5I,PE6,Peru,50084,2009,2009,5,,PE,Latin America and Caribbean,South America
362,PE61,PE6,Peru,46780,2010,2010,5,,PE,Latin America and Caribbean,South America
363,PE6A,PE6,Peru,46194,2011,2011,5,,PE,Latin America and Caribbean,South America
364,PE6I,PE6,Peru,47261,2012,2012,5,,PE,Latin America and Caribbean,South America
365,PG71,PG7,Papua New Guinea,34561,2016,2018,5,,PG,Oceania,Pacific Islands
366,PH31,PH2,Philippines,35863,1993,1993,5,,PH,South and Southeast Asia,Southeast Asia
367,PH3B,PH3,Philippines,32626,1998,1998,5,,PH,South and Southeast Asia,Southeast Asia
368,PH41,PH4,Philippines,30443,2003,2003,5,,PH,South and Southeast Asia,Southeast Asia
369,PH52,PH5,Philippines,28518,2008,2008,5,,PH,South and Southeast Asia,Southeast Asia
370,PH61,PH6,Philippines,31680,2013,2013,5,,PH,South and Southeast Asia,Southeast Asia
371,PH71,PH7,Philippines,47244,2017,2017,5,,PH,South and Southeast Asia,Southeast Asia
372,PH82,PH8,Philippines,45633,2022,2022,5,,PH,South and Southeast Asia,Southeast Asia
373,PK21,PK2,Pakistan,27369,1990,1991,5,,PK,South and Southeast Asia,South Asia
374,PK53,PK5,Pakistan,39049,2006,2007,5,,PK,South and Southeast Asia,South Asia
375,PK61,PK6,Pakistan,50238,2012,2013,5,,PK,South and Southeast Asia,South Asia
376,PK71,PK7,Pakistan,50495,2017,2018,5,,PK,South and Southeast Asia,South Asia
377,PY21,PY2,Paraguay,15346,1990,1990,5,,PY,Latin America and Caribbean,South America
378,RW21,RW2,Rwanda,19440,1992,1992,5,,RW,Sub-Saharan Africa,Eastern Africa
379,RW41,RW4,Rwanda,27602,2000,2000,5,,RW,Sub-Saharan Africa,Eastern Africa
380,RW53,RW4,Rwanda,30072,2005,2005,5,,RW,Sub-Saharan Africa,Eastern Africa
381,RW5A,RW5,Rwanda,18421,2007,2008,5,,RW,Sub-Saharan Africa,Eastern Africa
382,RW61,RW6,Rwanda,32639,2010,2011,5,,RW,Sub-Saharan Africa,Eastern Africa
383,RW70,RW6,Rwanda,30058,2014,2015,5,,RW,Sub-Saharan Africa,Eastern Africa
384,RW81,RW7,Rwanda,30820,2019,2020,5,,RW,Sub-Saharan Africa,Eastern Africa
385,SD02,SD,Sudan,25805,1989,1990,5,,SD,Sub-Saharan Africa,Eastern Africa
386,SL51,SL5,Sierra Leone,21136,2008,2008,5,,SL,Sub-Saharan Africa,Western Africa
387,SL61,SL6,Sierra Leone,47392,2013,2013,5,,SL,Sub-Saharan Africa,Western Africa
388,SL7A,SL7,Sierra Leone,40543,2019,2019,5,,SL,Sub-Saharan Africa,Western Africa
389,SN02,SN,Senegal,14389,1986,1986,5,,SN,Sub-Saharan Africa,Western Africa
390,SN21,SN2,Senegal,20815,1992,1993,5,,SN,Sub-Saharan Africa,Western Africa
391,SN32,SN2,Senegal,27448,1997,1997,5,,SN,Sub-Saharan Africa,Western Africa
392,SN4A,SN4,Senegal,39895,2005,2005,5,,SN,Sub-Saharan Africa,Western Africa
393,SN61,SN6,Senegal,42510,2010,2011,5,,SN,Sub-Saharan Africa,Western Africa
394,SN6D,SN6,Senegal,22563,2012,2013,5,,SN,Sub-Saharan Africa,Western Africa
395,SN6R,SN6,Senegal,44928,2012,2014,5,,SN,Sub-Saharan Africa,Western Africa
396,SN71,SN6,Senegal,22365,2014,2014,5,,SN,Sub-Saharan Africa,Western Africa
397,SN7A,SN6,Senegal,23250,2015,2015,5,,SN,Sub-Saharan Africa,Western Africa
398,SN7I,SN6,Senegal,22740,2016,2016,5,,SN,Sub-Saharan Africa,Western Africa
399,SN7Z,SN7,Senegal,42944,2017,2017,5,,SN,Sub-Saharan Africa,Western Africa
400,SN81,SN7,Senegal,23913,2018,2018,5,,SN,Sub-Saharan Africa,Western Africa
401,SN8B,SN7,Senegal,21562,2019,2019,5,,SN,Sub-Saharan Africa,Western Africa
402,SN8S,SN8,Senegal,39490,2023,2023,5,,SN,Sub-Saharan Africa,Western Africa
403,SNG0,SN6,Senegal,45990,2015,2016,5,,SN,Sub-Saharan Africa,Western Africa
404,ST51,ST5,Sao Tome and Principe,7620,2008,2009,5,,ST,Sub-Saharan Africa,Middle Africa
405,SZ51,SZ5,Eswatini,11410,2006,2007,5,,SZ,Sub-Saharan Africa,Southern Africa
406,TD31,TD3,Chad,25739,1996,1997,5,,TD,Sub-Saharan Africa,Middle Africa
407,TD41,TD4,Chad,21448,2004,2004,5,,TD,Sub-Saharan Africa,Middle Africa
408,TD71,TD6,Chad,68989,2014,2015,5,,TD,Sub-Saharan Africa,Middle Africa
409,TG01,TG,Togo,10782,1988,1988,5,,TG,Sub-Saharan Africa,Western Africa
410,TG31,TG3,Togo,26269,1998,1998,5,,TG,Sub-Saharan Africa,Western Africa
411,TG61,TG6,Togo,26264,2013,2014,5,,TG,Sub-Saharan Africa,Western Africa
412,TH01,TH,Thailand,17803,1987,1987,5,,TH,South and Southeast Asia,Southeast Asia
413,TJ61,TJ6,Tajikistan,19938,2012,2012,5,,TJ,Central Asia,Central Asia
414,TJ72,TJ7,Tajikistan,21985,2017,2017,5,,TJ,Central Asia,Central Asia
415,TJ81,TJ8,Tajikistan,20356,2023,2023,5,,TJ,Central Asia,Central Asia
416,TL61,TL5,Timor-Leste,35998,2009,2010,5,,TL,South and Southeast Asia,Southeast Asia
417,TL71,TL7,Timor-Leste,28682,2016,2016,5,,TL,South and Southeast Asia,Southeast Asia
418,TN02,TN,Tunisia,16463,1988,1988,5,,TN,North Africa - West Asia - Europe,North Africa
419,TR31,TR2,Turkey,19762,1993,1993,5,,TR,North Africa - West Asia - Europe,West Asia
420,TR41,TR3,Turkey,17791,1998,1998,5,,TR,North Africa - West Asia - Europe,West Asia
421,TR4A,TR4,Turkey,22443,2003,2004,5,,TR,North Africa - West Asia - Europe,West Asia
422,TR51,TR5,Turkey,19678,2008,2008,5,,TR,North Africa - West Asia - Europe,West Asia
423,TR62,TR6,Turkey,17871,2013,2013,5,,TR,North Africa - West Asia - Europe,West Asia
424,TR71,TR7,Turkey,13367,2018,2019,5,,TR,North Africa - West Asia - Europe,West Asia
425,TT01,TT,Trinidad and Tobago,7837,1987,1987,5,,TT,Latin America and Caribbean,Caribbean
426,TZ21,TZ2,Tanzania,29143,1991,1992,5,,TZ,Sub-Saharan Africa,Eastern Africa
427,TZ3A,TZ3,Tanzania,24890,1996,1996,5,,TZ,Sub-Saharan Africa,Eastern Africa
428,TZ41,TZ3,Tanzania,11952,1999,1999,5,,TZ,Sub-Saharan Africa,Eastern Africa
429,TZ4I,TZ4,Tanzania,30557,2004,2005,5,,TZ,Sub-Saharan Africa,Eastern Africa
430,TZ63,TZ5,Tanzania,29777,2009,2010,5,,TZ,Sub-Saharan Africa,Eastern Africa
431,TZ7B,TZ7,Tanzania,37169,2015,2016,5,,TZ,Sub-Saharan Africa,Eastern Africa
432,TZ82,TZ8,Tanzania,40394,2022,2022,5,,TZ,Sub-Saharan Africa,Eastern Africa
433,UA51,UA5,Ukraine,8007,2007,2007,5,,UA,North Africa - West Asia - Europe,Eastern Europe
434,UG01,UG,Uganda,16074,1988,1989,5,,UG,Sub-Saharan Africa,Eastern Africa
435,UG33,UG3,Uganda,22752,1995,1995,5,,UG,Sub-Saharan Africa,Eastern Africa
436,UG41,UG4,Uganda,23410,2000,2001,5,,UG,Sub-Saharan Africa,Eastern Africa
437,UG52,UG5,Uganda,30090,2006,2006,5,,UG,Sub-Saharan Africa,Eastern Africa
438,UG61,UG6,Uganda,28609,2011,2011,5,,UG,Sub-Saharan Africa,Eastern Africa
439,UG7B,UG7,Uganda,57906,2016,2016,5,,UG,Sub-Saharan Africa,Eastern Africa
440,UZ31,UZ3,Uzbekistan,9650,1996,1996,5,,UZ,Central Asia,Central Asia
441,VN31,VNT,Vietnam,15517,1997,1997,5,,VN,South and Southeast Asia,Southeast Asia
442,VN41,VNT,Vietnam,14383,2002,2002,5,,VN,South and Southeast Asia,Southeast Asia
443,YE21,YE2,Yemen,29803,1991,1992,5,,YE,North Africa - West Asia - Europe,West Asia
444,YE61,YE6,Yemen,64602,2013,2013,5,,YE,North Africa - West Asia - Europe,West Asia
445,ZA31,ZA3,South Africa,22934,1998,1998,5,,ZA,Sub-Saharan Africa,Southern Africa
446,ZA71,ZA7,South Africa,14144,2016,2016,5,,ZA,Sub-Saharan Africa,Southern Africa
447,ZM21,ZM2,Zambia,22122,1992,1992,5,,ZM,Sub-Saharan Africa,Eastern Africa
448,ZM31,ZM3,Zambia,24799,1996,1997,5,,ZM,Sub-Saharan Africa,Eastern Africa
449,ZM42,ZM4,Zambia,23805,2001,2002,5,,ZM,Sub-Saharan Africa,Eastern Africa
450,ZM51,ZM5,Zambia,21366,2007,2007,5,,ZM,Sub-Saharan Africa,Eastern Africa
451,ZM61,ZM6,Zambia,49207,2013,2014,5,,ZM,Sub-Saharan Africa,Eastern Africa
452,ZM71,ZM7,Zambia,38446,2018,2019,5,,ZM,Sub-Saharan Africa,Eastern Africa
453,ZM81,ZM8,Zambia,35610,2024,2024,5,,ZM,Sub-Saharan Africa,Eastern Africa
454,ZW01,ZW,Zimbabwe,12405,1988,1989,5,,ZW,Sub-Saharan Africa,Eastern Africa
455,ZW31,ZW3,Zimbabwe,16777,1994,1994,5,,ZW,Sub-Saharan Africa,Eastern Africa
456,ZW42,ZW4,Zimbabwe,14184,1999,1999,5,,ZW,Sub-Saharan Africa,Eastern Africa
457,ZW52,ZW5,Zimbabwe,19489,2005,2006,5,,ZW,Sub-Saharan Africa,Eastern Africa
458,ZW62,ZW6,Zimbabwe,19279,2010,2011,5,,ZW,Sub-Saharan Africa,Eastern Africa
459,ZW72,ZW7,Zimbabwe,20791,2015,2015,5,,ZW,Sub-Saharan Africa,Eastern Africa
